”NŒŽ,Temp
Apr-81,13.9
May-81,17.5
Jun-81,20.2
Jul-81,26.3
Aug-81,26.2
Sep-81,21.8
Oct-81,17.6
Nov-81,10.4
Dec-81,7.6
Jan-82,5.8
Feb-82,5.5
Mar-82,9.9
Apr-82,14
May-82,20.7
Jun-82,21.4
Jul-82,23.1
Aug-82,27.1
Sep-82,22.3
Oct-82,18
Nov-82,14.3
Dec-82,9.5
Jan-83,6.2
Feb-83,6.1
Mar-83,8.6
Apr-83,15.9
May-83,19.7
Jun-83,20.5
Jul-83,23.8
Aug-83,27.5
Sep-83,23.1
Oct-83,17.7
Nov-83,12.3
Dec-83,7.1
Jan-84,3.7
Feb-84,3
Mar-84,5.9
Apr-84,11.6
May-84,17.2
Jun-84,21.8
Jul-84,26.2
Aug-84,28.6
Sep-84,23.5
Oct-84,17.7
Nov-84,12.2
Dec-84,7.7
Jan-85,4.1
Feb-85,6.5
Mar-85,7.8
Apr-85,14.2
May-85,19.1
Jun-85,20.2
Jul-85,26.3
Aug-85,27.9
Sep-85,23.1
Oct-85,17.9
Nov-85,13.3
Dec-85,7.4
Jan-86,4.5
Feb-86,4.3
Mar-86,7.8
Apr-86,13.9
May-86,17.9
Jun-86,21.1
Jul-86,23.9
Aug-86,26.8
Sep-86,23.7
Oct-86,17.1
Nov-86,12.3
Dec-86,8.5
Jan-87,5.8
Feb-87,6.8
Mar-87,9.3
Apr-87,14.4
May-87,19.3
Jun-87,22.1
Jul-87,27
Aug-87,27.3
Sep-87,23.3
Oct-87,18.9
Nov-87,12.8
Dec-87,8.1
Jan-88,7.7
Feb-88,4.9
Mar-88,8.4
Apr-88,14.3
May-88,18.2
Jun-88,22.3
Jul-88,22.4
Aug-88,27
Sep-88,22.8
Oct-88,17.5
Nov-88,11.4
Dec-88,8.4
Jan-89,8.1
Feb-89,7.5
Mar-89,9.6
Apr-89,15.6
May-89,17.7
Jun-89,20.7
Jul-89,24.1
Aug-89,27.1
Sep-89,25.2
Oct-89,17.5
Nov-89,14.2
Dec-89,9.2
Jan-90,5
Feb-90,7.8
Mar-90,10.6
Apr-90,14.7
May-90,19.2
Jun-90,23.5
Jul-90,25.7
Aug-90,28.6
Sep-90,24.8
Oct-90,19.2
Nov-90,15.1
Dec-90,10
Jan-91,6.3
Feb-91,6.5
Mar-91,9.5
Apr-91,15.4
May-91,18.8
Jun-91,23.6
Jul-91,26.7
Aug-91,25.5
Sep-91,23.9
Oct-91,18.1
Nov-91,13
Dec-91,9.2
Jan-92,6.8
Feb-92,6.9
Mar-92,9.7
Apr-92,15.1
May-92,17.3
Jun-92,20.6
Jul-92,25.5
Aug-92,27
Sep-92,23.3
Oct-92,17.3
Nov-92,13
Dec-92,9.4
Jan-93,6.2
Feb-93,7.7
Mar-93,8.7
Apr-93,13.4
May-93,18.1
Jun-93,21.7
Jul-93,22.5
Aug-93,24.8
Sep-93,22.9
Oct-93,17.5
Nov-93,14.1
Dec-93,8.5
Jan-94,5.5
Feb-94,6.6
Mar-94,8.1
Apr-94,15.8
May-94,19.5
Jun-94,22.4
Jul-94,28.3
Aug-94,28.9
Sep-94,24.8
Oct-94,20.2
Nov-94,13.4
Dec-94,9
Jan-95,6.3
Feb-95,6.5
Mar-95,8.9
Apr-95,15
May-95,19.1
Jun-95,20.4
Jul-95,26.4
Aug-95,29.4
Sep-95,23.7
Oct-95,19.5
Nov-95,12.7
Dec-95,7.7
Jan-96,6.6
Feb-96,5.4
Mar-96,9.2
Apr-96,12.7
May-96,18.1
Jun-96,22.6
Jul-96,26.2
Aug-96,26
Sep-96,22.4
Oct-96,18
Nov-96,13.2
Dec-96,9.3
Jan-97,6.8
Feb-97,7
Mar-97,10.5
Apr-97,15.2
May-97,19.2
Jun-97,22.7
Jul-97,26.6
Aug-97,27
Sep-97,22.9
Oct-97,18.7
Nov-97,14.3
Dec-97,9.2
Jan-98,5.3
Feb-98,7
Mar-98,10.1
Apr-98,16.3
May-98,20.5
Jun-98,21.5
Jul-98,25.3
Aug-98,27.2
Sep-98,24.4
Oct-98,20.1
Nov-98,13.9
Dec-98,9
Jan-99,6.6
Feb-99,6.7
Mar-99,10.1
Apr-99,15
May-99,19.9
Jun-99,22.8
Jul-99,25.9
Aug-99,28.5
Sep-99,26.2
Oct-99,19.5
Nov-99,14.2
Dec-99,9
Jan-00,7.6
Feb-00,6
Mar-00,9.4
Apr-00,14.5
May-00,19.8
Jun-00,22.5
Jul-00,27.7
Aug-00,28.3
Sep-00,25.6
Oct-00,18.8
Nov-00,13.3
Dec-00,8.8
Jan-01,4.9
Feb-01,6.6
Mar-01,9.8
Apr-01,15.7
May-01,19.5
Jun-01,23.1
Jul-01,28.5
Aug-01,26.4
Sep-01,23.2
Oct-01,18.7
Nov-01,13.1
Dec-01,8.4
Jan-02,7.4
Feb-02,7.9
Mar-02,12.2
Apr-02,16.1
May-02,18.4
Jun-02,21.6
Jul-02,28
Aug-02,28
Sep-02,23.1
Oct-02,19
Nov-02,11.6
Dec-02,7.2
Jan-03,5.5
Feb-03,6.4
Mar-03,8.7
Apr-03,15.1
May-03,18.8
Jun-03,23.2
Jul-03,22.8
Aug-03,26
Sep-03,24.2
Oct-03,17.8
Nov-03,14.4
Dec-03,9.2
Jan-04,6.3
Feb-04,8.5
Mar-04,9.8
Apr-04,16.4
May-04,19.6
Jun-04,23.7
Jul-04,28.5
Aug-04,27.2
Sep-04,25.1
Oct-04,17.5
Nov-04,15.6
Dec-04,9.9
Jan-05,6.1
Feb-05,6.2
Mar-05,9
Apr-05,15.1
May-05,17.7
Jun-05,23.2
Jul-05,25.6
Aug-05,28.1
Sep-05,24.7
Oct-05,19.2
Nov-05,13.3
Dec-05,6.4
Jan-06,5.1
Feb-06,6.7
Mar-06,9.8
Apr-06,13.6
May-06,19
Jun-06,22.5
Jul-06,25.6
Aug-06,27.5
Sep-06,23.5
Oct-06,19.5
Nov-06,14.4
Dec-06,9.5
Jan-07,7.6
Feb-07,8.6
Mar-07,10.8
Apr-07,13.7
May-07,19.8
Jun-07,23.2
Jul-07,24.4
Aug-07,29
Sep-07,25.2
Oct-07,19
Nov-07,13.3
Dec-07,9
Jan-08,5.9
Feb-08,5.5
Mar-08,10.7
Apr-08,14.7
May-08,18.5
Jun-08,21.3
Jul-08,27
Aug-08,26.8
Sep-08,24.4
Oct-08,19.4
Nov-08,13.1
Dec-08,9.8
Jan-09,6.8
Feb-09,7.8
Mar-09,10
Apr-09,15.7
May-09,20.1
Jun-09,22.5
Jul-09,26.3
Aug-09,26.6
Sep-09,23
Oct-09,19
Nov-09,13.5
Dec-09,9
Jan-10,7
Feb-10,6.5
Mar-10,9.1
Apr-10,12.4
May-10,19
Jun-10,23.6
Jul-10,28
Aug-10,29.6
Sep-10,25.1
Oct-10,18.9
Nov-10,13.5
Dec-10,9.9
Jan-11,5.1
Feb-11,7
Mar-11,8.1
Apr-11,14.5
May-11,18.5
Jun-11,22.8
Jul-11,27.3
Aug-11,27.5
Sep-11,25.1
Oct-11,19.5
Nov-11,14.9
Dec-11,7.5
Jan-12,4.8
Feb-12,5.4
Mar-12,8.8
Apr-12,14.5
May-12,19.6
Jun-12,21.4
Jul-12,26.4
Aug-12,29.1
Sep-12,26.2
Oct-12,19.4
Nov-12,12.7
Dec-12,7.3
Jan-13,5.5
Feb-13,6.2
Mar-13,12.1
Apr-13,15.2
May-13,19.8
Jun-13,22.9
Jul-13,27.3
Aug-13,29.2
Sep-13,25.2
Oct-13,19.8
Nov-13,13.5
Dec-13,8.3
Jan-14,6.3
Feb-14,5.9
Mar-14,10.4
Apr-14,15
May-14,20.3
Jun-14,23.4
Jul-14,26.8
Aug-14,27.7
Sep-14,23.2
Oct-14,19.1
Nov-14,14.2
Dec-14,6.7
Jan-15,5.8
Feb-15,5.7
Mar-15,10.3
Apr-15,14.5
May-15,21.1
Jun-15,22.1
Jul-15,26.2
Aug-15,26.7
Sep-15,22.6
Oct-15,18.4
Nov-15,13.9
Dec-15,9.3
Jan-16,6.1
Feb-16,7.2
Mar-16,10.1
Apr-16,15.4
May-16,20.2
Jun-16,22.4
Jul-16,25.4
Aug-16,27.1
Sep-16,24.4
Oct-16,18.7
Nov-16,11.4
Dec-16,8.9
Jan-17,5.8
Feb-17,6.9
Mar-17,8.5
Apr-17,14.7
May-17,20
Jun-17,22
Jul-17,27.3
Aug-17,26.4
Sep-17,22.8
Oct-17,16.8
Nov-17,11.9
Dec-17,6.6
Jan-18,4.7
Feb-18,5.4
Mar-18,11.5
Apr-18,17
May-18,19.8
Jun-18,22.4
Jul-18,28.3
Aug-18,28.1
Sep-18,22.9
Oct-18,19.1
Nov-18,14
Dec-18,8.3
Jan-19,5.6
Feb-19,7.2
Mar-19,10.6
Apr-19,13.6
May-19,20
Jun-19,21.8
Jul-19,24.1
Aug-19,28.4
Sep-19,25.1
Oct-19,19.4
Nov-19,13.1
Dec-19,8.5
Jan-20,7.1
Feb-20,8.3
Mar-20,10.7
Apr-20,12.8
May-20,19.5
Jun-20,23.2
Jul-20,24.3
Aug-20,29.1
Sep-20,24.2
Oct-20,17.5
Nov-20,14
Dec-20,7.7
Jan-21,5.4
Feb-21,8.5
Mar-21,12.8
Apr-21,15.1
May-21,19.6
Jun-21,22.7
Jul-21,25.9
Aug-21,27.4
Sep-21,22.3
Oct-21,18.2
Nov-21,13.7
Dec-21,7.9
Jan-22,4.9
Feb-22,5.2
Mar-22,10.9
Apr-22,15.3
May-22,18.8
Jun-22,23
Jul-22,27.4
Aug-22,27.5
Sep-22,24.4
Oct-22,17.2
Nov-22,14.5
Dec-22,7.5
Jan-23,5.7
Feb-23,7.3
Mar-23,12.9
Apr-23,16.3
May-23,19
Jun-23,23.2
Jul-23,28.7
Aug-23,29.2
Sep-23,26.7
Oct-23,18.9
Nov-23,14.4
Dec-23,9.4
Jan-24,7.1
Feb-24,8
Mar-24,9.6
Apr-24,17.1
May-24,20
Jun-24,23.1
Jul-24,28.7
Aug-24,29
Sep-24,26.6
Oct-24,20.6
Nov-24,13.7
Dec-24,8.1
Jan-25,6.6
Feb-25,6.5
Mar-25,10.7
