1981FY,1982FY,1983FY,1984FY,1985FY,1986FY,1987FY,1988FY,1989FY,1990FY,1991FY,1992FY,1993FY,1994FY,1995FY,1996FY,1997FY,1998FY,1999FY,2000FY,2001FY,2002FY,2003FY,2004FY,2005FY,2006FY,2007FY,2008FY,2009FY,2010FY,2011FY,2012FY,2013FY,2014FY,2015FY,2016FY,2017FY,2018FY,2019FY,2020FY,2021FY,2022FY,2023FY,2024FY,Month,Actual_GWh
19451.17,19348.996,19212.729,20081.811,19348.795,19483.37,19718.853,19831.01,19172.551,19271.58,19383.694,19313.406,19873.240999999998,19256.855,19471.466,20506.608,19246.871,19627.004,19503.382,19547.98,19460.36,19197.73,19668.879,19323.36,19570.554,19746.275,19860.007,19446.587,19354.875,20377.834,19679.923,19868.838,19736.196,19642.324,19795.887,19346.082,19645.15,19122.756,20106.39,20106.188,19370.616,19707.337,19160.243,19262.288,2024-04,19339.137
19525.354,20236.273,19709.32,19455.95,19539.09,19433.832,19682.137,19579.122,19429.09,19618.731,19734.781,19430.117,19639.757,19631.434,19428.601,19597.351,19547.543,19784.86,19525.901,19660.214,19611.759,19410.286,19394.325,19775.118,19436.73,19454.873,19485.983,19592.853,19602.553,19504.456,19474.054,19399.851,19608.144,19627.506,19741.952,19572.423,19721.596,19683.902,19741.094,19544.143,19545.416,19514.369,19622.818,19526.125,2024-05,19791.6965
20734.61,21017.308,20351.145,21105.48,20556.087,20672.977,21358.605,21149.253,20608.118,22226.083,22279.124,20163.178,20853.178,20976.765,20198.424,21020.09,21082.335,21015.699,20865.172,20958.464,21382.816,20790.566,21175.429,21751.43,21389.162,20902.043,21112.664,20174.671,20794.8,21505.698,21392.989,20198.307,20733.104,20834.513,20427.97,20827.219,20767.195,21163.42,20589.253,21380.628,20810.67,21901.428,21096.882,21282.336,2024-06,21318.0765
26434.119,23135.259,24036.256,26024.852,26068.803,24124.448,26537.577,22590.968,23940.2,25653.307,25705.534,24898.122,22494.128,27198.285,25780.264,25205.705,25062.534,24657.501,24761.696,26109.339,27198.736,26254.4,22121.496,27209.077,24235.209,24044.036,22886.411,25492.175,24336.884,26229.136,25767.914,24801.771,25344.334,24853.021,24919.091,24071.957,26456.615,27297.413,23368.92,23342.352,24646.607,26411.177,27779.781,27419.544,2024-07,27944.204
25937.114,26351.149,27139.981,28371.361,27692.171,26304.298,26614.553,26416.573,26465.921,28103.386,24994.715,26118.137,24221.102,28447.003,29256.927,24983.343,25773.113,26035.151,26956.575,26860.306,25458.586,26659.536,24609.115999999998,25904.986,25998.951,25741.037,27275.206,25670.34,24579.811,27520.376,25734.286,26940.004,27196.048,25906.892,25465.978,25519.321,25177.372,26771.725,27270.907,27769.355,25970.494,26342.641,28110.537,28039.644,2024-08,28047.0545
21694.789,21921.766,22990.909,22764.821,23285.574,23153.44,22363.882,22300.942,23969.195,23572.794,23032.471,22885.808,21716.986,23493.1,22398.229,21415.334,22445.834,22823.404,24425.821,23444.702,22115.189,22080.742,22898.181,23132.053,22916.695,21890.482,23229.72,22472.371,20837.533,23905.751,23095.729,23649.649,22684.28,20894.106,21247.086,22666.882,21470.212,22075.979,23147.467,23168.561,21008.903,22775.786,24855.044,24655.722,2024-09,24905.084
20374.776,20335.37,20538.721,20493.624,20562.345,20440.122,20545.616,20336.53,20299.988,20668.68,20446.813,20357.294,20310.191,20642.018,20544.197,20338.532,20294.811,20835.193,20741.863,20365.193,20337.554,20604.893,20308.471,20381.776,20478.695,20310.928,20289.439,20290.868,20302.057,20470.761,20375.327,20522.815,20768.496,20426.339,20346.179,20683.929,20507.812,20600.435,20787.529,20360.473,20714.969,20574.426,20451.921,20801.814,2024-10,21027.3335
21927.792,20110.236,20769.056,20722.007,20505.928,20793.667,20495.807,21112.489,20259.696,19921.133,20312.722,20389.453,20250.507,20553.986,20865.649,20714.898,20077.345,20638.517,20160.107,20462.754,20651.846,21606.383,20214.98,19927.217,20732.24,20305.546,20816.936,20759.09,20676.508,20532.338,20260.42,21134.677,20952.171,20533.96,20264.769,21358.397,21293.849,20318.699,20716.299,20433.615999999998,20560.548,20098.64,20674.821,20647.531,2024-11,20588.6235
24654.207,23113.679,25052.075,24543.712,24620.797,23903.19,24517.961,24099.087,23896.548,23082.132,23447.261,23526.191,23986.81,23856.836,24622.537,23920.604,23677.526,23930.002,24252.075,24070.82,24773.281,25438.957,24170.104,23376.856,26043.705,23727.53,23942.625,23578.8,24126.069,23659.705,25253.939,25507.121,24806.759,25561.001,23665.805,23979.240999999998,25516.588,24581.748,24373.129,24795.828,24982.41,25038.778,23878.206,24636.945,2024-12,24770.8565
25865.929,25603.118,27691.01,27272.896,26700.403,26367.194,24484.793,24466.531,27125.734,25835.784,25423.44,25537.822,26847.122,26038.546,25752.875,26043.021,27623.318,26117.968,25040.354,27696.119,25496.007,26869.667,26283.777,26273.823,27005.393,25294.9,26379.404,25905.624,25888.924,27411.603,27251.8,27274.361,26591.167,26436.668,26325.636,26350.769,27064.667,26619.552,25512.638,26714.432,27325.647,26555.872,25664.875,27260.309,2025-01,26030.9165
