delta,,,,demand,residual demand
-209.1983366,,,April,-209.1983366,-187.350117
86.738424,,,May,86.738424,29.66189479
359.653048,,,June,359.653048,262.3250121
861.9488022,,,July,861.9488022,677.4269811
836.7705583,,,August,836.7705583,647.7931597
667.662397,,,September,667.662397,605.0774347
104.5557725,,,October,104.5557725,142.3858619
-298.9756472,,,November,-298.9756472,-272.7926847
-567.6429571,,,December,-567.6429571,-515.6238935
-558.8239164,,,January,-558.8239164,-525.5939159
-491.5880939,,,February,-491.5880939,-464.0349737
-476.0254869,,,March,-476.0254869,-481.7158242
